antecedent,consequent,confidence,lift,support
"13,12",5,0.7267262997337194,2.6817314274398827,0.050695815189898526
"11,7",5,0.7049390236322274,2.601333039407016,0.051133151245235514
"11,7",4,0.7518926915378974,3.2019262121302607,0.0545389621339114
"26,5",10,0.6733577294887535,2.5722064404712994,0.05093837889894111
"14,16",5,0.6828279724907239,2.5197398718532518,0.052106111252882135
"14,16",3,0.6869520005672015,2.8230747558986087,0.05242081286795968
"14,16",21,0.6639448869141872,3.6412229039745205,0.05066515657983367
11,5,0.5427043537807251,2.0026622428216694,0.10862435718362794
11,10,0.49271967130397176,1.8821744466158172,0.09861973134040344
11,3,0.47173916961003387,1.938643369544098,0.09442040348534293
11,4,0.45679106898291644,1.9452394120919352,0.09142848383254268
11,6,0.45821920276796657,1.995566905248264,0.09171433028520623
11,8,0.42692640380595404,1.8647408291389629,0.08545095659372022
11,16,0.40352212931593745,1.9963543539349011,0.08076650132057454
"21,10",5,0.6611632196151532,2.439793613302509,0.060447958362000634
"21,10",3,0.6423942953516585,2.639961914432379,0.05873197792219386
"21,10",4,0.5520213825684726,2.3507765860672563,0.05046948250971382
"21,10",6,0.5753765127082285,2.5057926858624597,0.05260476452834884
"21,10",16,0.64316359440187,3.1819381111842335,0.058802312380577954
"9,5",10,0.6292156466318151,2.403585000710532,0.05893306233526633
"9,5",3,0.6617951458086628,2.7196909946634733,0.06198449576054543
"9,5",6,0.5837834194995619,2.5424051736564013,0.05467782760302871
"9,5",16,0.5433767534105459,2.688260367125572,0.05089329270766925
"9,5",11,0.5525228894087745,2.7604911588912304,0.051749930341834484
"9,5",12,0.5348660331764049,2.8234798841123268,0.050096168845982864
"12,10",5,0.6974694801519928,2.5737692791482867,0.07001254297841183
"12,10",3,0.5293340879079419,2.175333501868651,0.05313497813770585
"12,10",4,0.5276452780697263,2.2469712308316305,0.05296545405852368
"12,10",6,0.5896641244688783,2.568015929699376,0.05919095534934134
"16,7",5,0.6403792858128843,2.363097712130641,0.05438206218828535
"16,7",10,0.6132919927370801,2.3427571178332225,0.052081764709595336
"16,7",3,0.6004863183155122,2.467738306460006,0.050994285776118205
"16,7",4,0.664673964980834,2.830506287592256,0.056445206300885405
"14,6",5,0.7204059746376411,2.658408459153197,0.05875632446548066
"14,6",10,0.6429147917611029,2.4559153264606484,0.05243614217299211
"14,6",3,0.70871983106502,2.9125310974164025,0.05780320238199366
15,5,0.47421948092449495,1.7499425656748928,0.07404324847811561
15,10,0.4494438476731695,1.7168620912584875,0.07017485326699051
15,8,0.4361088972821881,1.904848375418107,0.06809277295405627
"30,21",16,0.7911258474519159,3.913955184436752,0.05292758165785532
27,5,0.5168028107158542,1.9070815791224154,0.053055626441067386
27,3,0.5621343873517787,2.3101285054050766,0.0577094231041482
27,4,0.5013087395696091,2.1348173903842365,0.05146498561299637
27,6,0.49102327624066755,2.1384302400539936,0.05040906701340953
27,16,0.5223803249890207,2.584384251663324,0.05362822107021994
27,21,0.5102591128678086,2.798375596160169,0.05238384219111676
"14,5",10,0.6530074680148974,2.49446904868689,0.061027766781756684
"14,5",3,0.6142104552208564,2.524138556276563,0.05740193527967415
"14,5",4,0.5623781864495089,2.3948809139770733,0.052557874889426114
"14,5",6,0.628702649505027,2.7380306041635825,0.05875632446548066
"14,5",8,0.550037629532429,2.4024694097348935,0.05140457011669208
"14,5",16,0.5575442388220991,2.7583514950486183,0.052106111252882135
"14,5",11,0.5991682908473399,2.9935389126447007,0.05599614783581773
"14,5",12,0.5448949267671407,2.8764209526359408,0.05092395131773411
8,5,0.5035900102009067,1.858324320167549,0.11529531004421152
8,10,0.4446728817364385,1.6986371436974843,0.10180642333949812
28,5,0.4384952889001121,1.6181148218505839,0.05010608780806267
28,3,0.5119868688941147,2.10404395610338,0.058503841794358274
28,4,0.539606382475024,2.297907453716062,0.061659875183388085
28,6,0.46983949116964696,2.046173826179895,0.05368773484269879
28,7,0.4848250501096889,2.3803427433780047,0.055400108387203814
"13,6",5,0.7233070960764285,2.6691140419015666,0.05427475705305833
2,3,0.5186320046624163,2.131352581773764,0.052960945439396494
"21,16",20,0.47898123369378287,3.755834810472867,0.05148482353715598
"21,16",14,0.4713555866882545,2.9099570126738104,0.05066515657983367
"21,16",30,0.4924037146716106,4.078857753495909,0.05292758165785532
"21,16",5,0.5627542930966503,2.0766495918435504,0.06048943765797074
"21,16",10,0.5470583794032029,2.089746690638104,0.058802312380577954
"21,16",3,0.6274925966628356,2.5787223964548667,0.06744804041886875
"21,16",4,0.501740728001812,2.1366570080583736,0.053931200275566804
"21,16",6,0.5249196748403984,2.286050703893392,0.056422663205249475
"21,16",11,0.4924456599246663,2.4603358820319863,0.05293209027698251
"21,16",9,0.4732431230757615,2.469975862812592,0.050868044440557016
"12,6",5,0.7397375941803066,2.7297450981187503,0.07188812853532098
"12,6",10,0.6090821363619493,2.326675592059705,0.05919095534934134
"12,6",3,0.5731266006012693,2.355301733971947,0.05569677552577262
"13,10",5,0.6837194173671746,2.5230294400743056,0.06065445311802573
37,5,0.5078578444503974,1.874073282656119,0.051285542571734385
37,3,0.5218412358246272,2.1445411298417514,0.052697642082368865
37,16,0.5576033574426288,2.7586439739659285,0.0563090460032444
37,21,0.5550674167336369,3.0441143999979516,0.05605295643682027
"24,6",3,0.7795129515028173,3.203460115796464,0.05077155999123525
"12,9",5,0.7172958735733099,2.64693170955739,0.050096168845982864
"12,7",5,0.7080188566938882,2.612698095433956,0.053630024517870814
"12,7",4,0.6886621747101259,2.932659797499629,0.05216382157771011
