items,freq
"21,6",92760
"21,6,5",64219
"21,6,10",58338
"21,6,3",68913
"21,8",77026
"21,7",81273
"21,7,4",55765
"21,16",119203
"21,16,5",67082
"21,16,10",65211
"21,16,3",74799
"21,16,4",59809
"21,16,6",62572
"21,11",85559
"21,11,5",58839
"21,11,3",60100
"21,11,16",58701
"21,9",81197
"21,9,3",62378
"21,9,16",56412
"21,12",69786
15,173154
"15,5",82113
"15,10",77823
"15,3",65543
"15,4",58337
"15,6",68573
"15,8",75514
"15,7",56910
"15,11",62056
"15,9",61866
"15,12",58444
"15,13",57757
23,145956
"23,5",77833
"23,10",74827
"23,3",80242
"23,4",75061
"23,6",71365
"23,8",61011
"23,7",63341
"23,16",74598
"23,11",68778
"23,9",61157
"23,21",73728
"23,19",60758
"23,14",65883
32,130965
"32,5",68161
"32,10",66831
"32,3",77321
"32,4",63676
"32,6",59500
"32,16",61357
"32,11",63157
"32,9",64578
"32,21",59849
27,113850
"27,5",58838
"27,3",63999
"27,4",57074
"27,6",55903
"27,16",59473
"27,21",58093
33,105759
"33,3",62736
45,93336
"45,3",56237
34,86638
49,80223
50,74601
52,67414
